,word1,word2,bigram,freq.w1,freq.w2,freq.bi,human.eval
275,반NNG을JKO,쪼개VV,반NNG을JKO 쪼개VV,20,7,4,FALSE
279,화NNG을JKO,내VV,화NNG을JKO 내VV,22,178,21,TRUE
282,손NNG을JKO,대VV,손NNG을JKO 대VV,46,27,10,TRUE
283,말NNG을JKO,잃VV,말NNG을JKO 잃VV,480,22,4,FALSE
289,밖NNG을JKO,보VV,밖NNG을JKO 보VV,4,1238,2,FALSE
300,오락NNG을JKO,하VV,오락NNG을JKO 하VV,6,7312,4,TRUE
301,이유NNG을JKO,알VV,이유NNG을JKO 알VV,13,285,7,FALSE
304,수영NNG을JKO,하VV,수영NNG을JKO 하VV,9,7312,7,TRUE
305,딸NNG을JKO,낳VV,딸NNG을JKO 낳VV,5,18,2,FALSE
308,재XPN수강NNG을JKO,하VV,재XPN수강NNG을JKO 하VV,4,7312,4,TRUE
318,사업NNG을JKO,하VV,사업NNG을JKO 하VV,18,7312,12,TRUE
324,관리NNG을JKO,하VV,관리NNG을JKO 하VV,20,7312,17,TRUE
328,이름NNG을JKO,알VV,이름NNG을JKO 알VV,55,285,5,FALSE
329,동의서NNG을JKO,받VV,동의서NNG을JKO 받VV,8,426,6,FALSE
333,사진NNG을JKO,보VV,사진NNG을JKO 보VV,18,1238,3,FALSE
337,말NNG을JKO,듣VV,말NNG을JKO 듣VV,480,268,27,TRUE
340,도착NNG을JKO,하VV,도착NNG을JKO 하VV,13,7312,13,TRUE
346,눈치NNG을JKO,주VV,눈치NNG을JKO 주VV,12,324,2,TRUE
347,역할NNG을JKO,하VV,역할NNG을JKO 하VV,68,7312,58,TRUE
349,회사NNG을JKO,오VV,회사NNG을JKO 오VV,14,39,2,FALSE
353,쌤플NNG을JKO,보VV,쌤플NNG을JKO 보VV,2,1238,2,FALSE
355,좌우NNG을JKO,하VV,좌우NNG을JKO 하VV,2,7312,2,TRUE
360,약속NNG을JKO,하VV,약속NNG을JKO 하VV,10,7312,9,TRUE
361,사진NNG을JKO,찍VV,사진NNG을JKO 찍VV,18,60,9,TRUE
363,눈NNG을JKO,감VV,눈NNG을JKO 감VV,23,5,2,TRUE
374,강조NNG을JKO,하VV,강조NNG을JKO 하VV,13,7312,13,TRUE
376,이해NNG을JKO,하VV,이해NNG을JKO 하VV,84,7312,79,TRUE
387,성생활NNG을JKO,위하VV,성생활NNG을JKO 위하VV,2,245,2,FALSE
389,문NNG을JKO,닫VV,문NNG을JKO 닫VV,43,16,12,TRUE
397,예NNG을JKO,들VV,예NNG을JKO 들VV,398,475,381,TRUE
405,이야기NNG을JKO,하VV,이야기NNG을JKO 하VV,88,7312,75,TRUE
406,계약NNG을JKO,하VV,계약NNG을JKO 하VV,17,7312,9,TRUE
410,대출NNG을JKO,하VV,대출NNG을JKO 하VV,2,7312,2,TRUE
411,분양NNG을JKO,하VV,분양NNG을JKO 하VV,3,7312,3,TRUE
416,핵심NNG을JKO,찌르VV,핵심NNG을JKO 찌르VV,2,4,2,TRUE
427,회의NNG을JKO,하VV,회의NNG을JKO 하VV,18,7312,13,TRUE
430,진행NNG을JKO,하VV,진행NNG을JKO 하VV,29,7312,27,TRUE
434,카메라NNG을JKO,사VV,카메라NNG을JKO 사VV,8,157,2,FALSE
439,통계NNG을JKO,내VV,통계NNG을JKO 내VV,5,178,3,TRUE
440,다짐NNG을JKO,하VV,다짐NNG을JKO 하VV,3,7312,3,TRUE
444,인정NNG을JKO,하VV,인정NNG을JKO 하VV,40,7312,31,TRUE
448,표NNG을JKO,내VV,표NNG을JKO 내VV,21,178,2,TRUE
452,부탁NNG을JKO,하VV,부탁NNG을JKO 하VV,20,7312,18,TRUE
455,결혼식NNG을JKO,하VV,결혼식NNG을JKO 하VV,3,7312,3,FALSE
457,느낌NNG을JKO,받VV,느낌NNG을JKO 받VV,15,426,6,TRUE
463,결혼NNG을JKO,하VV,결혼NNG을JKO 하VV,48,7312,44,TRUE
464,수정NNG을JKO,하VV,수정NNG을JKO 하VV,7,7312,6,TRUE
478,문장NNG을JKO,쓰VV,문장NNG을JKO 쓰VV,20,509,2,FALSE
481,영업NNG을JKO,하VV,영업NNG을JKO 하VV,3,7312,3,TRUE
482,문제NNG을JKO,제기NNG하XSV,문제NNG을JKO 제기NNG하XSV,59,10,4,TRUE
483,관심NNG을JKO,가지VV,관심NNG을JKO 가지VV,45,568,24,TRUE
485,매각NNG을JKO,하VV,매각NNG을JKO 하VV,2,7312,2,TRUE
487,예상NNG을JKO,하VV,예상NNG을JKO 하VV,7,7312,5,TRUE
495,추진NNG을JKO,하VV,추진NNG을JKO 하VV,3,7312,3,TRUE
505,제품NNG을JKO,만들VV,제품NNG을JKO 만들VV,19,344,2,FALSE
508,기사NNG을JKO,쓰VV,기사NNG을JKO 쓰VV,8,509,3,FALSE
511,신문NNG을JKO,만들VV,신문NNG을JKO 만들VV,20,344,2,FALSE
512,마인드NNG을JKO,가지VV,마인드NNG을JKO 가지VV,5,568,4,FALSE
514,구축NNG을JKO,하VV,구축NNG을JKO 하VV,15,7312,13,TRUE
524,정복NNG을JKO,입VV,정복NNG을JKO 입VV,2,72,2,TRUE
529,욕NNG을JKO,먹VV,욕NNG을JKO 먹VV,18,244,6,TRUE
538,신고NNG을JKO,하VV,신고NNG을JKO 하VV,9,7312,9,TRUE
546,신경질NNG을JKO,내VV,신경질NNG을JKO 내VV,3,178,3,TRUE
548,준비NNG을JKO,하VV,준비NNG을JKO 하VV,50,7312,49,TRUE
554,학점NNG을JKO,듣VV,학점NNG을JKO 듣VV,9,268,3,FALSE
555,공부NNG을JKO,하VV,공부NNG을JKO 하VV,151,7312,140,TRUE
558,졸업NNG을JKO,하VV,졸업NNG을JKO 하VV,14,7312,14,TRUE
575,떡볶이NNG을JKO,먹VV,떡볶이NNG을JKO 먹VV,8,244,3,FALSE
577,바지NNG을JKO,사VV,바지NNG을JKO 사VV,3,157,2,FALSE
579,돈NNG을JKO,내VV,돈NNG을JKO 내VV,107,178,19,FALSE
582,유도NNG을JKO,하VV,유도NNG을JKO 하VV,7,7312,7,TRUE
585,자극NNG을JKO,주VV,자극NNG을JKO 주VV,10,324,6,FALSE
588,바람NNG을JKO,피우VV,바람NNG을JKO 피우VV,6,6,3,TRUE
591,취업NNG을JKO,나가VV,취업NNG을JKO 나가VV,11,27,5,FALSE
593,시계NNG을JKO,보VV,시계NNG을JKO 보VV,11,1238,10,FALSE
596,긴장NNG을JKO,하VV,긴장NNG을JKO 하VV,3,7312,3,TRUE
597,강의NNG을JKO,하VV,강의NNG을JKO 하VV,31,7312,17,TRUE
603,유행NNG을JKO,하VV,유행NNG을JKO 하VV,6,7312,4,TRUE
607,감안NNG을JKO,하VV,감안NNG을JKO 하VV,4,7312,4,TRUE
609,반응NNG을JKO,하VV,반응NNG을JKO 하VV,36,7312,9,TRUE
610,해결NNG을JKO,하VV,해결NNG을JKO 하VV,7,7312,6,TRUE
616,마사지NNG을JKO,하VV,마사지NNG을JKO 하VV,2,7312,2,TRUE
620,매실NNG을JKO,짜VV,매실NNG을JKO 짜VV,2,22,2,FALSE
624,반항NNG을JKO,하VV,반항NNG을JKO 하VV,3,7312,3,TRUE
629,음식NNG을JKO,먹VV,음식NNG을JKO 먹VV,19,244,11,FALSE
634,배NNG을JKO,갈VV,배NNG을JKO 갈VV,20,9,2,FALSE
635,뱃물NNG을JKO,갈VV,뱃물NNG을JKO 갈VV,2,9,2,FALSE
638,물NNG을JKO,넣VV,물NNG을JKO 넣VV,29,82,2,FALSE
640,겉절이NNG을JKO,하VV,겉절이NNG을JKO 하VV,2,7312,2,FALSE
642,숙성NNG을JKO,시키VV,숙성NNG을JKO 시키VV,4,200,3,TRUE
647,밥NNG을JKO,하VV,밥NNG을JKO 하VV,52,7312,5,FALSE
654,개고기NNG을JKO,먹VV,개고기NNG을JKO 먹VV,5,244,5,FALSE
665,취급NNG을JKO,하VV,취급NNG을JKO 하VV,4,7312,2,TRUE
677,책임NNG을JKO,지VV,책임NNG을JKO 지VV,11,9,6,TRUE
678,일NNG을JKO,떠넘기VV,일NNG을JKO 떠넘기VV,183,2,2,FALSE
679,사무원NNG을JKO,시키VV,사무원NNG을JKO 시키VV,2,200,2,FALSE
683,시간NNG을JKO,쓰VV,시간NNG을JKO 쓰VV,89,509,2,FALSE
684,싸인NNG을JKO,하VV,싸인NNG을JKO 하VV,4,7312,3,TRUE
689,주장NNG을JKO,하VV,주장NNG을JKO 하VV,13,7312,7,TRUE
693,성질NNG을JKO,내VV,성질NNG을JKO 내VV,3,178,2,TRUE
696,입씨름NNG을JKO,하VV,입씨름NNG을JKO 하VV,2,7312,2,TRUE
700,성품NNG을JKO,모르VV,성품NNG을JKO 모르VV,2,111,2,FALSE
720,애NNG들XSN을JKO,위하VV,애NNG들XSN을JKO 위하VV,25,245,2,FALSE
723,조장NNG을JKO,하VV,조장NNG을JKO 하VV,2,7312,2,TRUE
730,교과서NNG계XSN을JKO,주VV,교과서NNG계XSN을JKO 주VV,2,324,2,FALSE
735,협조NNG을JKO,하VV,협조NNG을JKO 하VV,5,7312,4,TRUE
737,청소NNG을JKO,하VV,청소NNG을JKO 하VV,8,7312,8,TRUE
739,꿈NNG을JKO,키우VV,꿈NNG을JKO 키우VV,21,29,2,FALSE
744,책NNG을JKO,보VV,책NNG을JKO 보VV,67,1238,11,FALSE
751,책NNG을JKO,읽VV,책NNG을JKO 읽VV,67,75,18,FALSE
754,기회NNG을JKO,주VV,기회NNG을JKO 주VV,17,324,7,FALSE
757,교양NNG을JKO,듣VV,교양NNG을JKO 듣VV,5,268,3,FALSE
762,구성NNG을JKO,하VV,구성NNG을JKO 하VV,10,7312,5,TRUE
770,지정NNG을JKO,하VV,지정NNG을JKO 하VV,7,7312,6,TRUE
774,시험NNG을JKO,보VV,시험NNG을JKO 보VV,79,1238,72,TRUE
779,신청NNG을JKO,하VV,신청NNG을JKO 하VV,11,7312,11,TRUE
783,머리NNG을JKO,쓰VV,머리NNG을JKO 쓰VV,29,509,2,TRUE
786,연습NNG을JKO,하VV,연습NNG을JKO 하VV,9,7312,6,TRUE
787,연습NNG을JKO,시키VV,연습NNG을JKO 시키VV,9,200,3,TRUE
793,차NNG을JKO,몰VV,차NNG을JKO 몰VV,44,13,5,TRUE
802,직장NNG인XSN을JKO,위하VV,직장NNG인XSN을JKO 위하VV,2,245,2,FALSE
804,인사NNG을JKO,나누VV,인사NNG을JKO 나누VV,35,86,4,FALSE
805,께임NNG을JKO,하VV,께임NNG을JKO 하VV,4,7312,4,TRUE
810,실수NNG을JKO,하VV,실수NNG을JKO 하VV,18,7312,11,TRUE
811,대형NNG을JKO,따VV,대형NNG을JKO 따VV,2,26,2,FALSE
826,흐름NNG을JKO,방해NNG하XSV,흐름NNG을JKO 방해NNG하XSV,8,8,2,FALSE
835,생활NNG을JKO,만들VV,생활NNG을JKO 만들VV,56,344,2,FALSE
839,회사NNG을JKO,때려치VV,회사NNG을JKO 때려치VV,14,3,3,TRUE
841,꼬리NNG을JKO,내리VV,꼬리NNG을JKO 내리VV,4,36,2,TRUE
844,그림NNG을JKO,그리VV,그림NNG을JKO 그리VV,33,33,10,TRUE
846,풍경NNG을JKO,보VV,풍경NNG을JKO 보VV,3,1238,2,FALSE
847,지식NNG을JKO,갖VV,지식NNG을JKO 갖VV,18,306,2,FALSE
857,자신NNG감XSN을JKO,갖VV,자신NNG감XSN을JKO 갖VV,3,306,2,FALSE
864,장난NNG을JKO,치VV,장난NNG을JKO 치VV,3,84,3,TRUE
867,취미NNG을JKO,가지VV,취미NNG을JKO 가지VV,3,568,2,FALSE
870,의식NNG을JKO,하VV,의식NNG을JKO 하VV,13,7312,6,TRUE
871,녹음NNG을JKO,하VV,녹음NNG을JKO 하VV,42,7312,39,TRUE
