,word1,word2,bigram,freq.w1,freq.w2,freq.bi,human.eval
1478,산NNG을JKO,넘VV,산NNG을JKO 넘VV,10,25,2,FALSE
1482,고개NNG을JKO,넘VV,고개NNG을JKO 넘VV,15,25,2,FALSE
1483,떡NNG을JKO,주VV,떡NNG을JKO 주VV,4,324,2,FALSE
1489,남매NNG을JKO,잡아먹VV,남매NNG을JKO 잡아먹VV,3,6,2,FALSE
1492,꾀NNG을JKO,내VV,꾀NNG을JKO 내VV,2,178,2,TRUE
1498,밀가루NNG을JKO,묻히VV,밀가루NNG을JKO 묻히VV,3,3,2,FALSE
1500,손NNG을JKO,보VV,손NNG을JKO 보VV,46,1238,2,FALSE
1503,자리NNG을JKO,내VV,자리NNG을JKO 내VV,37,178,3,FALSE
1507,대답NNG을JKO,하VV,대답NNG을JKO 하VV,51,7312,45,TRUE
1510,자리NNG을JKO,만들VV,자리NNG을JKO 만들VV,37,344,2,FALSE
1516,동아줄NNG을JKO,내리VV,동아줄NNG을JKO 내리VV,6,36,4,FALSE
1525,얼굴NNG을JKO,쳐다보VV,얼굴NNG을JKO 쳐다보VV,23,12,2,FALSE
1529,방망이NNG을JKO,가지VV,방망이NNG을JKO 가지VV,3,568,2,FALSE
1530,노래NNG을JKO,부르VV,노래NNG을JKO 부르VV,29,49,11,TRUE
1533,목소리NNG을JKO,가지VV,목소리NNG을JKO 가지VV,19,568,4,FALSE
1549,지혜NNG을JKO,주VV,지혜NNG을JKO 주VV,5,324,2,FALSE
1552,아이NNG을JKO,데리VV,아이NNG을JKO 데리VV,29,26,3,FALSE
1554,문제NNG을JKO,해결NNG하XSV,문제NNG을JKO 해결NNG하XSV,59,20,11,FALSE
1556,진실NNG을JKO,알VV,진실NNG을JKO 알VV,9,285,4,FALSE
1564,도끼NNG을JKO,찾VV,도끼NNG을JKO 찾VV,5,136,2,FALSE
1565,금NNG도끼NNG을JKO,보이VV,금NNG도끼NNG을JKO 보이VV,2,164,2,FALSE
1573,소식NNG을JKO,듣VV,소식NNG을JKO 듣VV,5,268,4,FALSE
1587,혼NNG을JKO,내VV,혼NNG을JKO 내VV,6,178,6,TRUE
1593,발생NNG을JKO,하VV,발생NNG을JKO 하VV,8,7312,7,TRUE
1597,이야기NNG을JKO,듣VV,이야기NNG을JKO 듣VV,88,268,4,FALSE
1602,칭찬NNG을JKO,하VV,칭찬NNG을JKO 하VV,18,7312,13,TRUE
1605,명령NNG을JKO,받VV,명령NNG을JKO 받VV,6,426,2,FALSE
1609,신하NNG을JKO,보내VV,신하NNG을JKO 보내VV,2,72,2,FALSE
1613,정신NNG을JKO,차리VV,정신NNG을JKO 차리VV,12,8,4,TRUE
1628,소리NNG을JKO,지르VV,소리NNG을JKO 지르VV,64,11,7,TRUE
1631,심술NNG을JKO,부리VV,심술NNG을JKO 부리VV,3,13,3,TRUE
1642,발NNG을JKO,내밀VV,발NNG을JKO 내밀VV,13,7,2,FALSE
1653,잠NNG을JKO,자VV,잠NNG을JKO 자VV,18,24,16,TRUE
1660,정리NNG을JKO,하VV,정리NNG을JKO 하VV,34,7312,34,TRUE
1676,소리NNG을JKO,만들VV,소리NNG을JKO 만들VV,64,344,2,FALSE
1679,친구NNG을JKO,찾VV,친구NNG을JKO 찾VV,27,136,2,FALSE
1680,헛간NNG을JKO,나오VV,헛간NNG을JKO 나오VV,2,41,2,FALSE
1684,시작NNG을JKO,알리VV,시작NNG을JKO 알리VV,52,27,2,FALSE
1685,소리NNG을JKO,내VV,소리NNG을JKO 내VV,64,178,10,TRUE
1691,친구NNG들XSN을JKO,만나VV,친구NNG들XSN을JKO 만나VV,11,108,5,FALSE
1697,말씀NNG을JKO,드리VV,말씀NNG을JKO 드리VV,139,139,83,TRUE
1698,중점NNG을JKO,두VV,중점NNG을JKO 두VV,8,74,8,TRUE
1704,배려NNG을JKO,하VV,배려NNG을JKO 하VV,5,7312,5,TRUE
1706,주문NNG을JKO,하VV,주문NNG을JKO 하VV,6,7312,6,TRUE
1709,차NNG을JKO,시키VV,차NNG을JKO 시키VV,44,200,2,FALSE
1717,캐취NNG을JKO,하VV,캐취NNG을JKO 하VV,2,7312,2,TRUE
1720,공고NNG을JKO,하VV,공고NNG을JKO 하VV,3,7312,2,TRUE
1722,발표NNG을JKO,시키VV,발표NNG을JKO 시키VV,55,200,2,FALSE
1735,성격NNG을JKO,가지VV,성격NNG을JKO 가지VV,14,568,7,FALSE
1747,입NNG을JKO,다물VV,입NNG을JKO 다물VV,22,7,7,TRUE
1749,끝NNG을JKO,내VV,끝NNG을JKO 내VV,8,178,2,TRUE
1751,입NNG을JKO,벌리VV,입NNG을JKO 벌리VV,22,7,5,FALSE
1753,음식NNG을JKO,씹VV,음식NNG을JKO 씹VV,19,5,3,FALSE
1777,다리NNG을JKO,벌리VV,다리NNG을JKO 벌리VV,10,7,2,FALSE
1782,쇼핑NNG을JKO,하VV,쇼핑NNG을JKO 하VV,2,7312,2,TRUE
1783,닭NNG을JKO,사VV,닭NNG을JKO 사VV,9,157,2,FALSE
1784,요리NNG을JKO,하VV,요리NNG을JKO 하VV,7,7312,5,TRUE
1794,말NNG을JKO,쓰VV,말NNG을JKO 쓰VV,480,509,34,FALSE
1798,비속어NNG을JKO,쓰VV,비속어NNG을JKO 쓰VV,4,509,2,FALSE
1801,물음표NNG을JKO,치VV,물음표NNG을JKO 치VV,3,84,2,FALSE
1819,자제NNG을JKO,하VV,자제NNG을JKO 하VV,6,7312,5,TRUE
1823,웃음NNG을JKO,이끌VV,웃음NNG을JKO 이끌VV,3,20,2,FALSE
1826,인터뷰NNG을JKO,하VV,인터뷰NNG을JKO 하VV,17,7312,12,TRUE
1832,구분NNG을JKO,하VV,구분NNG을JKO 하VV,11,7312,10,TRUE
1841,역할NNG을JKO,담당NNG하XSV,역할NNG을JKO 담당NNG하XSV,68,16,6,TRUE
1843,선택NNG을JKO,하VV,선택NNG을JKO 하VV,23,7312,22,TRUE
1849,존대말NNG을JKO,쓰VV,존대말NNG을JKO 쓰VV,3,509,2,FALSE
1854,말NNG들XSN을JKO,사용NNG하XSV,말NNG들XSN을JKO 사용NNG하XSV,6,106,2,FALSE
1858,분위기NNG을JKO,만들VV,분위기NNG을JKO 만들VV,17,344,3,FALSE
1864,반대말NNG을JKO,쓰VV,반대말NNG을JKO 쓰VV,2,509,2,FALSE
1867,애기NNG을JKO,가지VV,애기NNG을JKO 가지VV,10,568,2,FALSE
1868,텔레비전NNG을JKO,보VV,텔레비전NNG을JKO 보VV,5,1238,4,FALSE
1869,처벌NNG을JKO,받VV,처벌NNG을JKO 받VV,3,426,3,TRUE
1871,제한NNG을JKO,시키VV,제한NNG을JKO 시키VV,3,200,2,FALSE
1873,영향NNG을JKO,미치VV,영향NNG을JKO 미치VV,74,30,27,TRUE
1877,수용NNG을JKO,하VV,수용NNG을JKO 하VV,3,7312,3,TRUE
1881,편집NNG을JKO,하VV,편집NNG을JKO 하VV,7,7312,5,TRUE
1883,전달NNG을JKO,하VV,전달NNG을JKO 하VV,3,7312,2,TRUE
1895,표NNG을JKO,보이VV,표NNG을JKO 보이VV,21,164,3,FALSE
1899,방송NNG을JKO,하VV,방송NNG을JKO 하VV,20,7312,4,TRUE
1901,생각NNG을JKO,갖VV,생각NNG을JKO 갖VV,656,306,5,FALSE
1902,영향NNG을JKO,주VV,영향NNG을JKO 주VV,74,324,16,FALSE
1917,인터뷰NNG을JKO,응하VV,인터뷰NNG을JKO 응하VV,17,2,2,FALSE
1921,행위NNG을JKO,하VV,행위NNG을JKO 하VV,7,7312,5,TRUE
1923,피해NNG을JKO,보VV,피해NNG을JKO 보VV,11,1238,8,TRUE
1932,모형NNG을JKO,갖VV,모형NNG을JKO 갖VV,3,306,2,FALSE
1938,표준말NNG을JKO,쓰VV,표준말NNG을JKO 쓰VV,4,509,3,FALSE
1947,말NNG을JKO,사용NNG하XSV,말NNG을JKO 사용NNG하XSV,480,106,5,FALSE
1950,국어학NNG을JKO,전공NNG하XSV,국어학NNG을JKO 전공NNG하XSV,3,21,2,FALSE
1957,무시NNG을JKO,하VV,무시NNG을JKO 하VV,8,7312,8,TRUE
1960,반박NNG을JKO,하VV,반박NNG을JKO 하VV,2,7312,2,TRUE
1967,과자NNG을JKO,훔치VV,과자NNG을JKO 훔치VV,6,4,2,FALSE
1976,꼬리NNG을JKO,물VV,꼬리NNG을JKO 물VV,4,8,2,TRUE
1980,라디오NNG을JKO,듣VV,라디오NNG을JKO 듣VV,2,268,2,FALSE
1983,존중NNG을JKO,하VV,존중NNG을JKO 하VV,2,7312,2,TRUE
1995,영어NNG을JKO,쓰VV,영어NNG을JKO 쓰VV,30,509,7,FALSE
1996,제정NNG을JKO,하VV,제정NNG을JKO 하VV,2,7312,2,TRUE
2004,말NNG을JKO,배우VV,말NNG을JKO 배우VV,480,106,6,FALSE
2005,효과NNG을JKO,보VV,효과NNG을JKO 보VV,15,1238,8,TRUE
2010,비중NNG을JKO,차지NNG하XSV,비중NNG을JKO 차지NNG하XSV,4,25,3,TRUE
2012,외래어NNG을JKO,사용NNG하XSV,외래어NNG을JKO 사용NNG하XSV,4,106,2,FALSE
2013,일NNG을JKO,갖VV,일NNG을JKO 갖VV,183,306,2,FALSE
2014,직업NNG을JKO,갖VV,직업NNG을JKO 갖VV,5,306,2,FALSE
2016,기술NNG을JKO,배우VV,기술NNG을JKO 배우VV,20,106,6,FALSE
2018,교육NNG을JKO,받VV,교육NNG을JKO 받VV,80,426,30,TRUE
2020,화장NNG을JKO,하VV,화장NNG을JKO 하VV,4,7312,2,TRUE
2027,일어NNG을JKO,배우VV,일어NNG을JKO 배우VV,4,106,3,FALSE
2032,복습NNG을JKO,하VV,복습NNG을JKO 하VV,2,7312,2,TRUE
2036,반응NNG을JKO,보이VV,반응NNG을JKO 보이VV,36,164,8,FALSE
2037,질문NNG을JKO,하VV,질문NNG을JKO 하VV,44,7312,31,TRUE
2038,일본어NNG을JKO,배우VV,일본어NNG을JKO 배우VV,5,106,2,FALSE
2041,토론NNG을JKO,하VV,토론NNG을JKO 하VV,14,7312,12,TRUE
2042,영향NNG을JKO,받VV,영향NNG을JKO 받VV,74,426,20,TRUE
2044,방송NNG을JKO,보VV,방송NNG을JKO 보VV,20,1238,5,FALSE
2045,논의NNG을JKO,하VV,논의NNG을JKO 하VV,11,7312,7,TRUE
2057,예NNG을JKO,보VV,예NNG을JKO 보VV,398,1238,10,FALSE
2060,소리NNG을JKO,하VV,소리NNG을JKO 하VV,64,7312,12,TRUE
2061,말NNG을JKO,놓VV,말NNG을JKO 놓VV,480,39,2,TRUE
2064,사람NNG들XSN을JKO,데리VV,사람NNG들XSN을JKO 데리VV,35,26,2,FALSE
2077,언어NNG을JKO,하VV,언어NNG을JKO 하VV,65,7312,4,TRUE
2081,동조NNG을JKO,하VV,동조NNG을JKO 하VV,3,7312,3,TRUE
2086,프로NNG을JKO,위장NNG하XSV,프로NNG을JKO 위장NNG하XSV,7,2,2,FALSE
2089,문제NNG을JKO,가지VV,문제NNG을JKO 가지VV,59,568,4,FALSE
2104,재미NNG을JKO,느끼VV,재미NNG을JKO 느끼VV,8,87,2,FALSE
2122,남발NNG을JKO,하VV,남발NNG을JKO 하VV,2,7312,2,TRUE
2123,상황NNG을JKO,알VV,상황NNG을JKO 알VV,20,285,2,FALSE
2137,주의NNG을JKO,하VV,주의NNG을JKO 하VV,6,7312,2,TRUE
2143,녹화NNG을JKO,하VV,녹화NNG을JKO 하VV,4,7312,4,TRUE
2161,규제NNG을JKO,하VV,규제NNG을JKO 하VV,2,7312,2,TRUE
2162,결석NNG을JKO,하VV,결석NNG을JKO 하VV,2,7312,2,TRUE
2175,코메디NNG을JKO,보VV,코메디NNG을JKO 보VV,2,1238,2,FALSE
2179,모습NNG을JKO,보이VV,모습NNG을JKO 보이VV,34,164,16,FALSE
2181,묘사NNG을JKO,하VV,묘사NNG을JKO 하VV,8,7312,8,TRUE
2188,유지NNG을JKO,하VV,유지NNG을JKO 하VV,7,7312,5,TRUE
2189,공감NNG을JKO,하VV,공감NNG을JKO 하VV,4,7312,3,TRUE
2194,결론NNG을JKO,내리VV,결론NNG을JKO 내리VV,8,36,3,TRUE
2195,글NNG을JKO,읽VV,글NNG을JKO 읽VV,38,75,6,FALSE
2198,글쓰기NNG을JKO,하VV,글쓰기NNG을JKO 하VV,4,7312,4,TRUE
2202,전화NNG을JKO,걸VV,전화NNG을JKO 걸VV,100,41,13,TRUE
2205,사람NNG을JKO,보VV,사람NNG을JKO 보VV,98,1238,13,FALSE
2206,상담NNG을JKO,하VV,상담NNG을JKO 하VV,4,7312,4,TRUE
2209,실망NNG을JKO,하VV,실망NNG을JKO 하VV,3,7312,3,TRUE
2219,영화NNG을JKO,보VV,영화NNG을JKO 보VV,58,1238,38,FALSE
2224,손해NNG을JKO,보VV,손해NNG을JKO 보VV,6,1238,6,TRUE
2234,정보NNG을JKO,가지VV,정보NNG을JKO 가지VV,66,568,9,FALSE
2235,자료NNG을JKO,찾VV,자료NNG을JKO 찾VV,61,136,3,FALSE
2236,생각NNG을JKO,드러내VV,생각NNG을JKO 드러내VV,656,18,2,FALSE
2237,생각NNG을JKO,형성NNG하XSV,생각NNG을JKO 형성NNG하XSV,656,21,2,FALSE
2261,장면NNG을JKO,보VV,장면NNG을JKO 보VV,7,1238,3,FALSE
2263,상황NNG을JKO,보VV,상황NNG을JKO 보VV,20,1238,7,FALSE
2269,손NNG을JKO,내밀VV,손NNG을JKO 내밀VV,46,7,3,TRUE
2271,길NNG을JKO,걸어가VV,길NNG을JKO 걸어가VV,26,3,2,FALSE
2275,기회NNG을JKO,제공NNG하XSV,기회NNG을JKO 제공NNG하XSV,17,20,2,FALSE
2281,표NNG을JKO,끊VV,표NNG을JKO 끊VV,21,25,4,TRUE
2287,구걸NNG을JKO,하VV,구걸NNG을JKO 하VV,2,7312,2,TRUE
2290,고개NNG을JKO,숙이VV,고개NNG을JKO 숙이VV,15,7,6,TRUE
2304,글NNG을JKO,쓰VV,글NNG을JKO 쓰VV,38,509,23,FALSE
2308,표현NNG을JKO,하VV,표현NNG을JKO 하VV,47,7312,34,TRUE
2317,일기NNG을JKO,쓰VV,일기NNG을JKO 쓰VV,2,509,2,FALSE
2318,감상문NNG을JKO,쓰VV,감상문NNG을JKO 쓰VV,4,509,4,FALSE
2325,책NNG을JKO,만들VV,책NNG을JKO 만들VV,67,344,7,FALSE
2326,보관NNG을JKO,하VV,보관NNG을JKO 하VV,4,7312,4,TRUE
2328,비디오NNG을JKO,가지VV,비디오NNG을JKO 가지VV,16,568,3,FALSE
2348,설득NNG을JKO,하VV,설득NNG을JKO 하VV,9,7312,8,TRUE
2356,감동NNG을JKO,주VV,감동NNG을JKO 주VV,9,324,3,TRUE
2366,작품NNG을JKO,보VV,작품NNG을JKO 보VV,4,1238,2,FALSE
2374,확인NNG을JKO,하VV,확인NNG을JKO 하VV,19,7312,16,TRUE
2375,시NNG을JKO,읽VV,시NNG을JKO 읽VV,26,75,5,FALSE
2376,공감대NNG을JKO,형성NNG하XSV,공감대NNG을JKO 형성NNG하XSV,3,21,3,TRUE
2378,시NNG을JKO,쓰VV,시NNG을JKO 쓰VV,26,509,14,FALSE
2383,사랑NNG을JKO,하VV,사랑NNG을JKO 하VV,14,7312,6,TRUE
2393,새벽NNG을JKO,향하VV,새벽NNG을JKO 향하VV,2,23,2,FALSE
2396,주제NNG을JKO,가지VV,주제NNG을JKO 가지VV,20,568,4,FALSE
2399,느낌NNG을JKO,가지VV,느낌NNG을JKO 가지VV,15,568,2,FALSE
2404,바다NNG을JKO,메꾸VV,바다NNG을JKO 메꾸VV,3,4,2,FALSE
2406,생리NNG을JKO,가지VV,생리NNG을JKO 가지VV,2,568,2,FALSE
2416,자료NNG을JKO,보VV,자료NNG을JKO 보VV,61,1238,18,FALSE
2418,의사NNG소통NNG을JKO,잘MAG하XSV,의사NNG소통NNG을JKO 잘MAG하XSV,2,29,2,FALSE
2420,방법NNG을JKO,배우VV,방법NNG을JKO 배우VV,47,106,3,FALSE
2421,관계NNG을JKO,만들VV,관계NNG을JKO 만들VV,65,344,3,FALSE
2423,취업NNG을JKO,하VV,취업NNG을JKO 하VV,11,7312,6,TRUE
2429,문제NNG을JKO,내VV,문제NNG을JKO 내VV,59,178,3,TRUE
2432,답NNG을JKO,하VV,답NNG을JKO 하VV,12,7312,4,TRUE
2434,메일NNG을JKO,열VV,메일NNG을JKO 열VV,9,52,2,FALSE
2437,비디오NNG을JKO,보VV,비디오NNG을JKO 보VV,16,1238,9,FALSE
2439,설치NNG을JKO,하VV,설치NNG을JKO 하VV,13,7312,13,TRUE
2443,말NNG을JKO,주고받VV,말NNG을JKO 주고받VV,480,8,2,FALSE
2446,부분NNG을JKO,얘기NNG하XSV,부분NNG을JKO 얘기NNG하XSV,39,86,3,FALSE
2449,오해NNG을JKO,하VV,오해NNG을JKO 하VV,7,7312,6,TRUE
2461,평가NNG을JKO,하VV,평가NNG을JKO 하VV,23,7312,18,TRUE
2463,의문NNG을JKO,가지VV,의문NNG을JKO 가지VV,7,568,2,FALSE
2465,방법NNG을JKO,보VV,방법NNG을JKO 보VV,47,1238,3,FALSE
2469,택시NNG을JKO,타VV,택시NNG을JKO 타VV,8,120,8,FALSE
2474,인사NNG을JKO,받VV,인사NNG을JKO 받VV,35,426,3,TRUE
2476,학교NNG을JKO,가VV,학교NNG을JKO 가VV,47,336,9,FALSE
2477,얘기NNG을JKO,드리VV,얘기NNG을JKO 드리VV,990,139,2,FALSE
2480,출발NNG을JKO,하VV,출발NNG을JKO 하VV,15,7312,15,TRUE
2487,양NNG을JKO,주VV,양NNG을JKO 주VV,13,324,2,FALSE
2488,정보NNG을JKO,주VV,정보NNG을JKO 주VV,66,324,5,FALSE
2494,대화NNG을JKO,잇VV,대화NNG을JKO 잇VV,95,22,3,FALSE
2505,교재NNG을JKO,보VV,교재NNG을JKO 보VV,17,1238,2,FALSE
2507,관계NNG을JKO,맺VV,관계NNG을JKO 맺VV,65,21,11,TRUE
2509,정보NNG을JKO,전달NNG하XSV,정보NNG을JKO 전달NNG하XSV,66,24,9,FALSE
2515,선전NNG을JKO,하VV,선전NNG을JKO 하VV,2,7312,2,TRUE
2518,수업NNG을JKO,하VV,수업NNG을JKO 하VV,66,7312,22,TRUE
2522,질문NNG을JKO,받VV,질문NNG을JKO 받VV,44,426,5,TRUE
2529,생각NNG을JKO,가지VV,생각NNG을JKO 가지VV,656,568,8,FALSE
2530,의도NNG을JKO,가지VV,의도NNG을JKO 가지VV,7,568,3,FALSE
2534,지식NNG을JKO,가지VV,지식NNG을JKO 가지VV,18,568,2,FALSE
2535,추측NNG을JKO,하VV,추측NNG을JKO 하VV,5,7312,4,TRUE
2541,빰NNG을JKO,때리VV,빰NNG을JKO 때리VV,2,26,2,FALSE
2543,초점NNG을JKO,맞추VV,초점NNG을JKO 맞추VV,13,49,8,TRUE
2548,짐작NNG을JKO,하VV,짐작NNG을JKO 하VV,2,7312,2,TRUE
2556,발표NNG을JKO,넣VV,발표NNG을JKO 넣VV,55,82,2,FALSE
2559,인쇄NNG을JKO,하VV,인쇄NNG을JKO 하VV,2,7312,2,TRUE
2561,책NNG을JKO,사VV,책NNG을JKO 사VV,67,157,4,FALSE
2563,교재NNG을JKO,가지VV,교재NNG을JKO 가지VV,17,568,3,FALSE
2586,최선NNG을JKO,다MAG하XSV,최선NNG을JKO 다MAG하XSV,12,16,9,TRUE
2589,점수NNG을JKO,받VV,점수NNG을JKO 받VV,50,426,6,FALSE
2593,상의NNG을JKO,하VV,상의NNG을JKO 하VV,4,7312,4,TRUE
2597,점수NNG을JKO,드리VV,점수NNG을JKO 드리VV,50,139,2,FALSE
2602,계획NNG을JKO,짜VV,계획NNG을JKO 짜VV,44,22,7,TRUE
2606,내용NNG을JKO,하VV,내용NNG을JKO 하VV,44,7312,3,FALSE
2610,성격NNG을JKO,띠VV,성격NNG을JKO 띠VV,14,22,3,TRUE
2612,사회NNG을JKO,보VV,사회NNG을JKO 보VV,23,1238,6,FALSE
2613,현상NNG을JKO,보VV,현상NNG을JKO 보VV,13,1238,2,FALSE
2616,정의NNG을JKO,하VV,정의NNG을JKO 하VV,20,7312,13,TRUE
2624,현상NNG을JKO,반영NNG하XSV,현상NNG을JKO 반영NNG하XSV,13,17,2,FALSE
2629,그림NNG을JKO,보이VV,그림NNG을JKO 보이VV,33,164,5,FALSE
2630,언어NNG을JKO,사용NNG하XSV,언어NNG을JKO 사용NNG하XSV,65,106,4,FALSE
2634,언어NNG을JKO,다루VV,언어NNG을JKO 다루VV,65,36,2,FALSE
2646,반영NNG을JKO,하VV,반영NNG을JKO 하VV,6,7312,6,TRUE
2651,얘기NNG을JKO,쓰VV,얘기NNG을JKO 쓰VV,990,509,4,FALSE
2652,점수NNG을JKO,주VV,점수NNG을JKO 주VV,50,324,8,FALSE
2659,메모NNG을JKO,하VV,메모NNG을JKO 하VV,3,7312,3,TRUE
2663,광고NNG을JKO,보VV,광고NNG을JKO 보VV,25,1238,6,FALSE
2668,교육NNG을JKO,중요시XR하XSV,교육NNG을JKO 중요시XR하XSV,80,3,2,FALSE
2670,교육NNG을JKO,통하VV,교육NNG을JKO 통하VV,80,243,7,FALSE
2683,얘기NNG을JKO,나누VV,얘기NNG을JKO 나누VV,990,86,5,TRUE
2685,지배NNG을JKO,하VV,지배NNG을JKO 하VV,5,7312,3,TRUE
2686,목소리NNG을JKO,내VV,목소리NNG을JKO 내VV,19,178,4,TRUE
2692,영화NNG을JKO,하VV,영화NNG을JKO 하VV,58,7312,3,FALSE
2695,인터넷NNG을JKO,사용NNG하XSV,인터넷NNG을JKO 사용NNG하XSV,18,106,2,FALSE
2698,글NNG을JKO,올리VV,글NNG을JKO 올리VV,38,47,4,FALSE
2723,과정NNG을JKO,거치VV,과정NNG을JKO 거치VV,28,25,3,FALSE
2725,점NNG을JKO,찍VV,점NNG을JKO 찍VV,29,60,17,TRUE
2729,강의NNG을JKO,듣VV,강의NNG을JKO 듣VV,31,268,5,FALSE
2739,광고NNG을JKO,하VV,광고NNG을JKO 하VV,25,7312,5,TRUE
2743,관념NNG을JKO,가지VV,관념NNG을JKO 가지VV,3,568,2,FALSE
2746,얼마NNG을JKO,하VV,얼마NNG을JKO 하VV,11,7312,2,FALSE
2752,이름NNG을JKO,쓰VV,이름NNG을JKO 쓰VV,55,509,2,FALSE
2753,사람NNG을JKO,쓰VV,사람NNG을JKO 쓰VV,98,509,2,FALSE
2754,문제NNG을JKO,생각NNG하XSV,문제NNG을JKO 생각NNG하XSV,59,101,2,FALSE
2759,지적NNG을JKO,하VV,지적NNG을JKO 하VV,8,7312,7,TRUE
2766,가치관NNG을JKO,가지VV,가치관NNG을JKO 가지VV,2,568,2,FALSE
2770,목적NNG을JKO,위하VV,목적NNG을JKO 위하VV,12,245,4,FALSE
2773,희망NNG을JKO,가지VV,희망NNG을JKO 가지VV,6,568,2,FALSE
2775,양면NNG성XSN을JKO,가지VV,양면NNG성XSN을JKO 가지VV,2,568,2,FALSE
2784,정치NNG을JKO,하VV,정치NNG을JKO 하VV,12,7312,3,FALSE
2785,정치NNG을JKO,보VV,정치NNG을JKO 보VV,12,1238,3,FALSE
2791,투표NNG을JKO,하VV,투표NNG을JKO 하VV,4,7312,4,TRUE
2792,권리NNG을JKO,행사NNG하XSV,권리NNG을JKO 행사NNG하XSV,14,6,5,TRUE
2795,관심NNG을JKO,갖VV,관심NNG을JKO 갖VV,45,306,13,TRUE
2803,회의NNG을JKO,가지VV,회의NNG을JKO 가지VV,18,568,2,FALSE
2804,정치NNG을JKO,잘MAG하XSV,정치NNG을JKO 잘MAG하XSV,12,29,3,FALSE
2809,행사NNG을JKO,하VV,행사NNG을JKO 하VV,6,7312,6,TRUE
2824,가정NNG을JKO,하VV,가정NNG을JKO 하VV,18,7312,10,TRUE
2829,발표NNG을JKO,하VV,발표NNG을JKO 하VV,55,7312,35,TRUE
2838,주제NNG을JKO,선택NNG하XSV,주제NNG을JKO 선택NNG하XSV,20,34,2,FALSE
2842,얘기NNG을JKO,다루VV,얘기NNG을JKO 다루VV,990,36,2,FALSE
2847,경향NNG을JKO,보이VV,경향NNG을JKO 보이VV,6,164,3,FALSE
2856,말NNG을JKO,받VV,말NNG을JKO 받VV,480,426,8,FALSE
2858,남자NNG을JKO,대하VV,남자NNG을JKO 대하VV,26,10,2,FALSE
2860,번역NNG을JKO,하VV,번역NNG을JKO 하VV,7,7312,5,TRUE
2862,끝NNG을JKO,맺VV,끝NNG을JKO 맺VV,8,21,3,TRUE
2868,끝처리NNG을JKO,보VV,끝처리NNG을JKO 보VV,2,1238,2,FALSE
2871,말NNG을JKO,돌리VV,말NNG을JKO 돌리VV,480,22,4,TRUE
2872,말투NNG을JKO,쓰VV,말투NNG을JKO 쓰VV,4,509,2,FALSE
2881,작용NNG을JKO,일으키VV,작용NNG을JKO 일으키VV,15,26,2,FALSE
2893,프로NNG을JKO,진행NNG하XSV,프로NNG을JKO 진행NNG하XSV,7,11,3,FALSE
2902,형식NNG을JKO,취하VV,형식NNG을JKO 취하VV,13,18,3,TRUE
2904,노래NNG을JKO,소개NNG하XSV,노래NNG을JKO 소개NNG하XSV,29,15,2,FALSE
2912,눈높이NNG을JKO,맞추VV,눈높이NNG을JKO 맞추VV,2,49,2,TRUE
2917,카메라NNG을JKO,보VV,카메라NNG을JKO 보VV,8,1238,2,FALSE
2918,뜸NNG을JKO,들이VV,뜸NNG을JKO 들이VV,3,14,2,TRUE
2924,프로NNG을JKO,보VV,프로NNG을JKO 보VV,7,1238,2,FALSE
2931,사회NNG을JKO,맡VV,사회NNG을JKO 맡VV,23,41,2,FALSE
2948,말NNG을JKO,계속NNG하XSV,말NNG을JKO 계속NNG하XSV,480,8,2,FALSE
2956,발표NNG을JKO,마치VV,발표NNG을JKO 마치VV,55,20,6,FALSE
2961,생각NNG을JKO,말NNG하XSV,생각NNG을JKO 말NNG하XSV,656,105,3,FALSE
2963,자리NNG을JKO,마련NNG하XSV,자리NNG을JKO 마련NNG하XSV,37,8,3,TRUE
2970,화면NNG을JKO,보VV,화면NNG을JKO 보VV,6,1238,5,FALSE
2975,요청NNG을JKO,하VV,요청NNG을JKO 하VV,3,7312,2,TRUE
2976,경우NNG을JKO,보VV,경우NNG을JKO 보VV,10,1238,5,FALSE
2991,인터뷰NNG을JKO,통하VV,인터뷰NNG을JKO 통하VV,17,243,2,FALSE
2993,의상NNG을JKO,보VV,의상NNG을JKO 보VV,8,1238,4,FALSE
3011,즐거움NNG을JKO,주VV,즐거움NNG을JKO 주VV,5,324,2,FALSE
3019,질문NNG을JKO,던지VV,질문NNG을JKO 던지VV,44,15,3,TRUE
3021,반응NNG을JKO,유도NNG하XSV,반응NNG을JKO 유도NNG하XSV,36,8,2,FALSE
3022,분위기NNG을JKO,보VV,분위기NNG을JKO 보VV,17,1238,4,TRUE
3027,카메라NNG을JKO,의식NNG하XSV,카메라NNG을JKO 의식NNG하XSV,8,7,3,TRUE
3035,고려NNG을JKO,하VV,고려NNG을JKO 하VV,7,7312,7,TRUE
3036,페이지NNG을JKO,보VV,페이지NNG을JKO 보VV,10,1238,3,FALSE
3045,말NNG을JKO,건네VV,말NNG을JKO 건네VV,480,3,2,TRUE
3052,말NNG을JKO,시키VV,말NNG을JKO 시키VV,480,200,3,FALSE
3054,말NNG을JKO,수용NNG하XSV,말NNG을JKO 수용NNG하XSV,480,9,3,FALSE
3071,눈NNG을JKO,피하VV,눈NNG을JKO 피하VV,23,21,2,FALSE
3074,눈NNG을JKO,쳐다보VV,눈NNG을JKO 쳐다보VV,23,12,2,FALSE
3104,감정NNG을JKO,느끼VV,감정NNG을JKO 느끼VV,14,87,4,FALSE
